법정동코드,법정동명,폐지여부,법정동,법정구,법정구코드
1100000000,서울특별시,존재,0,0,0
1111000000,서울특별시 종로구,존재,0,0,0
1111010100,서울특별시 종로구 청운동,존재,청운동,종로구,1111000000
1111010200,서울특별시 종로구 신교동,존재,신교동,종로구,1111000000
1111010300,서울특별시 종로구 궁정동,존재,궁정동,종로구,1111000000
1111010400,서울특별시 종로구 효자동,존재,효자동,종로구,1111000000
1111010500,서울특별시 종로구 창성동,존재,창성동,종로구,1111000000
1111010600,서울특별시 종로구 통의동,존재,통의동,종로구,1111000000
1111010700,서울특별시 종로구 적선동,존재,적선동,종로구,1111000000
1111010800,서울특별시 종로구 통인동,존재,통인동,종로구,1111000000
1111010900,서울특별시 종로구 누상동,존재,누상동,종로구,1111000000
1111011000,서울특별시 종로구 누하동,존재,누하동,종로구,1111000000
1111011100,서울특별시 종로구 옥인동,존재,옥인동,종로구,1111000000
1111011200,서울특별시 종로구 체부동,존재,체부동,종로구,1111000000
1111011300,서울특별시 종로구 필운동,존재,필운동,종로구,1111000000
1111011400,서울특별시 종로구 내자동,존재,내자동,종로구,1111000000
1111011500,서울특별시 종로구 사직동,존재,사직동,종로구,1111000000
1111011600,서울특별시 종로구 도렴동,존재,도렴동,종로구,1111000000
1111011700,서울특별시 종로구 당주동,존재,당주동,종로구,1111000000
1111011800,서울특별시 종로구 내수동,존재,내수동,종로구,1111000000
1111011900,서울특별시 종로구 세종로,존재,세종로,종로구,1111000000
1111012000,서울특별시 종로구 신문로1가,존재,신문로1가,종로구,1111000000
1111012100,서울특별시 종로구 신문로2가,존재,신문로2가,종로구,1111000000
1111012200,서울특별시 종로구 청진동,존재,청진동,종로구,1111000000
1111012300,서울특별시 종로구 서린동,존재,서린동,종로구,1111000000
1111012400,서울특별시 종로구 수송동,존재,수송동,종로구,1111000000
1111012500,서울특별시 종로구 중학동,존재,중학동,종로구,1111000000
1111012600,서울특별시 종로구 종로1가,존재,종로1가,종로구,1111000000
1111012700,서울특별시 종로구 공평동,존재,공평동,종로구,1111000000
1111012800,서울특별시 종로구 관훈동,존재,관훈동,종로구,1111000000
1111012900,서울특별시 종로구 견지동,존재,견지동,종로구,1111000000
1111013000,서울특별시 종로구 와룡동,존재,와룡동,종로구,1111000000
1111013100,서울특별시 종로구 권농동,존재,권농동,종로구,1111000000
1111013200,서울특별시 종로구 운니동,존재,운니동,종로구,1111000000
1111013300,서울특별시 종로구 익선동,존재,익선동,종로구,1111000000
1111013400,서울특별시 종로구 경운동,존재,경운동,종로구,1111000000
1111013500,서울특별시 종로구 관철동,존재,관철동,종로구,1111000000
1111013600,서울특별시 종로구 인사동,존재,인사동,종로구,1111000000
1111013700,서울특별시 종로구 낙원동,존재,낙원동,종로구,1111000000
1111013800,서울특별시 종로구 종로2가,존재,종로2가,종로구,1111000000
1111013900,서울특별시 종로구 팔판동,존재,팔판동,종로구,1111000000
1111014000,서울특별시 종로구 삼청동,존재,삼청동,종로구,1111000000
1111014100,서울특별시 종로구 안국동,존재,안국동,종로구,1111000000
1111014200,서울특별시 종로구 소격동,존재,소격동,종로구,1111000000
1111014300,서울특별시 종로구 화동,존재,화동,종로구,1111000000
1111014400,서울특별시 종로구 사간동,존재,사간동,종로구,1111000000
1111014500,서울특별시 종로구 송현동,존재,송현동,종로구,1111000000
1111014600,서울특별시 종로구 가회동,존재,가회동,종로구,1111000000
1111014700,서울특별시 종로구 재동,존재,재동,종로구,1111000000
1111014800,서울특별시 종로구 계동,존재,계동,종로구,1111000000
1111014900,서울특별시 종로구 원서동,존재,원서동,종로구,1111000000
1111015000,서울특별시 종로구 훈정동,존재,훈정동,종로구,1111000000
1111015100,서울특별시 종로구 묘동,존재,묘동,종로구,1111000000
1111015200,서울특별시 종로구 봉익동,존재,봉익동,종로구,1111000000
1111015300,서울특별시 종로구 돈의동,존재,돈의동,종로구,1111000000
1111015400,서울특별시 종로구 장사동,존재,장사동,종로구,1111000000
1111015500,서울특별시 종로구 관수동,존재,관수동,종로구,1111000000
1111015600,서울특별시 종로구 종로3가,존재,종로3가,종로구,1111000000
1111015700,서울특별시 종로구 인의동,존재,인의동,종로구,1111000000
1111015800,서울특별시 종로구 예지동,존재,예지동,종로구,1111000000
1111015900,서울특별시 종로구 원남동,존재,원남동,종로구,1111000000
1111016000,서울특별시 종로구 연지동,존재,연지동,종로구,1111000000
1111016100,서울특별시 종로구 종로4가,존재,종로4가,종로구,1111000000
1111016200,서울특별시 종로구 효제동,존재,효제동,종로구,1111000000
1111016300,서울특별시 종로구 종로5가,존재,종로5가,종로구,1111000000
1111016400,서울특별시 종로구 종로6가,존재,종로6가,종로구,1111000000
1111016500,서울특별시 종로구 이화동,존재,이화동,종로구,1111000000
1111016600,서울특별시 종로구 연건동,존재,연건동,종로구,1111000000
1111016700,서울특별시 종로구 충신동,존재,충신동,종로구,1111000000
1111016800,서울특별시 종로구 동숭동,존재,동숭동,종로구,1111000000
